,index,der_word,subtitle_ind,eng_sent,video_code,start,end,tokens,movie_dir,sinc,word_ind,ori_word,clip_index,_before_no,_after_no,before_text,after_text,_before_kor,_after_kor,word_meaning,verify
129,50926,considering,139,So you guys are seriously considering this?,BB223,413760,417030,so you guys are seriously considering this,./bigbang,F,13,consider,19,4,4,"Howard, this is big science.
You could be the engineer who builds the equipment
I could also be the engineer
You still might get on a magazine.","Yes. And you think you can put up with Sheldon?
Well, I'm a Hindu.
My religion teaches that if we suffer in this life
we are rewarded in the next.","하워드 이건 큰 업적이야
넌 우리 셋을 잡지표지에 올려줄 장비들을 만드는 엔지니어가 되는거야
아니면 쉘든을 죽이는 석궁을 만드는 엔지니어가 될수도 있지
그렇게 잡지표지에 올라갈수도 있겠다","그래 - 그리고 넌 쉘든이랑 살수 있다?
이봐 난 힌두교야
우리 종교의 가르침에 따르면 현세의 고통은
후세에서 보답받게 되있어",v. 고려하다,F
130,11259,invite,71,We're going to apologize to Raj and invite him out to dinner.,BB204,271448,274280,we're going to apologize to raj and invite him out to dinner,./bigbang,F,14,invite,10,5,2,"There's my missing neutrino.
You were hiding from me as an unbalanced charge,
weren't you, you little sub-atomic dickens?
Hey, look, I found my missing neutrino.
Oh good, we can take it off the milk carton.","Apologize for what?
He came over last night with some pretty good news and we weren't very supportive.","사라진 뉴트리노가 여기 있었네
전하량 보존이 안 되던 곳에 숨어있었구나
그렇지, 이 소립자 악마야?
이것 좀 봐, 사라진 뉴트리노를 찾았어
이제 우유팩을 뜯어도 되겠구나","무슨 사과?
어제 저녁에 좋은 일 있다고 왔는데 같이 축하해주지 못 했잖아",v. 초대하다,F
131,11484,invite,103,We just wanted to invite you out to dinner.,BB204,386614,388901,we just wanted to invite you out to dinner,./bigbang,F,14,invite,11,4,2,"We're here to see Koothrappali, not kill Batman.
Try less teeth.
Close enough. Come on.
Hey, Raj. - Hey, guys. What's up?","To celebrate your ""30 under 30"" thing. Right, Sheldon?
That's very nice of you. I would like that.","라지 만나러 왔지 배트맨 죽이러 온 건 아니야
이가 덜 보이게 해 봐
그 정도면 됐어, 들어가자
안녕, 라지 - 안녕, 무슨 일이야?","""피플""지에 나오게 된 걸 축하해야지, 그렇지 쉘든?
정말 고마워 나도 좋지",v. 초대하다,F
132,74930,invite,110,and invite her up to my bedroom to see the rest of the act.,BB512,337533,341068,and invite her up to my bedroom to see rest of act,./bigbang,F,14,invite,12,6,2,"She knows my koala face.
And for future reference, it's this.
Oh, you have a lot of magic stuff.
Yeah.
I started when I was a teenager.
I thought I could show a girl a few tricks","Did it work?
Ah, let's just say the only wand","코알라 표정은 다 읽힐 거야
너도 참고할 수 있게 보여줄게
마술 용품이 많네
응
10대부터 시작했어
여자들한테  마술을 보여주면서","효과는 있었어?
힘을 발휘한 지팡이라고는  이것 밖에 없지",v. 초대하다,F
133,76698,invite,39,How come you never invite Sheldon and me on a double date?,BB513,122271,126223,how come you never invite sheldon and me on double date,./bigbang,F,14,invite,13,7,2,"They sent the wrong Spock!
Live long and suck it, Zachary Quinto.
<font color=#00FF00>The Big Bang Theory 5x13</font> <font color=#00FFFF>The Recombination Hypothesis</font> Original Air Date on January 19, 2012
== sync, corrected by <font color=#00FF00>elderman</font> ==
This is so exciting.
If Leonard and Penny get back together,
Howard and I can go on double dates with them.","How's it going in there, Penny?!
PENNY: Just a sec.","잘못된 스팍을 보냈네
오래 살고 꺼져라, 재커리 퀸토
<font color=""#5b79c9"">DC 기타 미국드라마 갤러리</font>
자막 <font color=""#5b79c9"">공대언니</font>
너무 신난다
레너드랑 페니가  다시 합치면
우리 커플이랑  더블 데이트하면 되잖아","페니, 아직 멀었어?
잠깐",v. 초대하다,F
134,95244,invite,210,"When you invite a man to a bachelor party,",BB522,685430,687480,when you invite man to bachelor party,./bigbang,F,14,invite,14,5,4,"(whispers): To Howard.
Yeah, to Howard. Yes...
Um, uh, who's next? KRIPKE: I'll go.
Howard, I'm gonna say something to you that everybody's thinking
but no one has the courage to say out loud.","the implication is, there will be strippers.
Maybe not completely nude,
but at least pasties and G-strings.
That's not unreasonable.","하워드를 위하여
위하여
다음은 누구야?
모두가 생각하고 있지만
용기가 없어서  말을 안 하고 있어","당연히 스트리퍼가 있어야해
완전 나체는 아니더라도
젖꼭지 가리개랑 지스트링 정도
많은걸 바라지 않아",v. 초대하다,F
135,47081,inviting,172,Michaela's inviting me to a party.,BB221,606951,608731,michaela's inviting me to party,./bigbang,F,14,invite,15,6,2,"I'm Michaela. - Hello, Michaela.
So, you interested in a little party?
Why, yes, I love to party.
Party is my middle name.
Or, it would be if it weren't Ramayan.
Can I talk to you for a moment? - Not now.","You better call the moon and make sure they have a bed for you.
Yeah. I really need to talk to you.","전 미카엘라에요 - 반가워요 미카엘라
혹시 파티 좋아하세요?
그럼요, 당연히 파티 좋아하죠
제 미들네임이 파티에요
라마얀이 아니면 파티였을거에요
잠깐 이야기 좀 하자? - 지금은 안돼","달에 전화해서 남는 방 있는지 알아보는게 좋을 것 같은데
야, 진짜 할 말 있어",v. 초대하다,F
136,9687,invited,132,You were invited on a quest to the Black Castle?,BB203,538648,541370,you were invited on quest to black castle,./bigbang,F,14,invite,16,6,3,"Can we go talk in the living room? - I'm not wearing pajama bottoms.
Why not? - I spilled grape juice.
Wear different pajamas.
I can't wear different pajamas-- these are my Monday pajamas.
People cannot be in my bedroom.
Fine, just tell me, is it too soon to join a quest to the Black Castle?","By some guys in Budapest.
I'm just not sure it's the right move for my character.
Of course it's not-- you're only a level 25.","그럼 거실에서 이야기할까요? - 잠옷 바지 안 입고 있어요
왜요? - 포도 주스를 흘렸거든요
그럼 다른 잠옷 입어요
안 돼요, 이게 월요일 잠옷이에요
제 침실에는 아무도 못 들어와요
알았어요, 암흑성 퀘스트를 하기에는 너무 빠른지 대답만 해줘요","부다페스트에 사는 어떤 사람들이요
제 캐릭터가 제대로 행동하는 건지 확신이 안 서서요
당연히 아니죠 이제 고작 25레벨이에요",v. 초대하다,F
137,17564,invited,82,Then you're not invited  to our wedding.,BB207,281034,283649,then you're not invited to our wedding,./bigbang,F,14,invite,17,11,2,"Individual relish packets?
Onion rings?
Extra breading?  - I asked.
What did they say?  - No.
Did you protest?  - Yes.
Vociferously?  - No.
Then what took you so long?
Just eat.
Hey, guys, what'd I miss?
Giselle's hanging by a thread.
Oh, good, I hate her.","Here you go.  - Thank you.
Do we have to suffer through this transparently  manipulative pseudo-reality again? / Yes.","피클은 1인분 따로 포장했어?  - 응
양파튀김도?  - 응
추가 빵은?  - 부탁은 했어
뭐래?  - 안 된대
항의는 했어?  - 응
소리는 냈어?  - 아니
그럼 왜 이렇게 오래 걸렸어?
그냥 먹어
안녕하세요  어떻게 됐어요?
지젤이 탈락하기 일보 직전이에요
완전 싫었는데 잘됐네요","여기요  - 고마워요
사람들을 속이는 게 뻔히 보이는  가짜 리얼리티 프로그램을 또 봐야 해? / 응",v. 초대하다,F
138,21889,invited,99,I have never once been invited to have cereal with Mrs. Vartabedian.,BB210,350595,354314,i have never once been invited to have cereal with mrs vartabedian,./bigbang,F,14,invite,18,7,4,"Look, I'm just saying...
Penny is one of our many neighbors,
and in our building, neighbors come and go,
it's very casual, no dress code.
In fact, some mornings I'll just mosey down to the third floor in my pajamas
and have cereal with Mrs. Vartabedian.
Really?","She doesn't like you.
You have a gall bladder to remove
and I have to get in the shower
and Penny has clothes to put on, so...","그러니까 내 말은..
페니는 이웃에 사는 사람 중 한 명이잖아요
이웃끼리는 가고 오고 하잖아요
자연스럽게 말이죠 복장 제한 없이요
예전에는 아침에 잠옷만 입고 3층을 어슬렁어슬렁 돌아다니다가
바타비디언 아주머니랑 시리얼도 먹었어요
정말?","널 안 좋아하시거든
스테파니는 수술해야 할 쓸개가 있고
나도 샤워를 해야 하고
페니도 옷을 입어야 하니까요..",v. 초대하다,F
139,23386,invited,14,He's invited for dinner in the Bottle City of Kandor.,BB211,47621,50089,he's invited for dinner in bottle city of kandor,./bigbang,F,14,invite,19,6,3,"Or it turned into mustard Kryptonite,
the only way to destroy a rogue Kryptonian hotdog threatening Earth.
Raj, please, let's stay serious here.
Superman's body is Kryptonian, therefore his sweat is Kryptonian.
What about Kryptonian pit stains?
Superman doesn't sweat on Earth.","He miniaturizes himself, enters the city where he loses his superpowers.
Now, before dinner, his host says, ""Who's up for a little Kryptonian tetherball?""
Superman says ""Sure,"" works up a sweat, comes back to Earth,","아니면 머스타드 크립토나이트로 바꿔서
지구를 위협하는 크립토니안 핫도그 변형체를 없애는 거야
라지, 진지한 얘기 중이잖아
슈퍼맨의 몸도 크립토니안이니까 땀도 크립토니안이야
겨드랑이에 땀 자국은 어쩔 거야?
슈퍼맨은 지구에서 땀을 안 흘려","몸을 축소할 테고, 칸도르에 들어가서는 초능력들을 쓸 수 없게 되겠지
저녁을 먹기 전에 저녁 초대를 한 사람이 ""공놀이 하실 분 계신가요?"" 하고 묻자
슈퍼맨이 땀 흘리면서 운동한 다음",v. 초대하다,F
140,17037,include,309,"Maybe when I publish it, I'll include an inhaler.",BB206,1149866,1153338,maybe when i publish i'll include inhaler,./bigbang,F,15,include,10,5,3,"Sisters?
Excuse me, Dr. Cooper.
I'm Kathy O'Brien. I just finished reading your paper
reconciling the black hole information paradox
and it just took my breath away.","Would you possibly have any time for me to pick your brain?
Let's see. Today's Thursday.
Thursday nights, I eat pizza from Giacomo's.","자매님, 어디 가요?
쿠퍼 박사님이시죠?
전 캐시 오브라이언이에요
박사님의 끈 네트워크 응축 이론을 통한 블랙홀 정보 역설을 해결하신 논문을 막 읽었어요
읽으면서 제 혼을 다 빼놨어요","박사님 머리속에 든 걸 저한테도 좀 나눠주실 시간 있으세요?
어디 보자.. 오늘은 목요일이죠
목요일 저녁에는 지아코모의 피자를 먹죠",v. 포함하다,F
141,20287,include,175,"so, you feel free to include any and all shortcomings in the bedroom.",BB209,663676,667029,so you feel free to include any and all shortcomings in bedroom,./bigbang,F,15,include,11,6,2,"Specifically, I need to know exactly what Leonard did
that caused you to pop an emotional cap in his buttocks.
What? - Again, urban slang.
In which, I believe I'm gaining remarkable fluency.
So, what is the ""down"" and the ""low""?
And don't worry, this is all entirely confidential,","We never got to the bedroom.
Because?","레너드가 한 짓을 빼놓지 말고 말해요
레너드가 무슨 짓을 해서 페니의 꼭지를 돌게 했었는지
네? - 속어잖아요
제가 봐도 꽤 유창하게 쓰는 것 같네요
아무도 모르는 레너드의 비밀은 뭐죠?
완전 기밀이니까 걱정 마요","침대까지 못 갔어요
왜냐하면?",v. 포함하다,F
142,29124,include,222,"Popular choices include tea, coffee, cocoa...",BB213,768145,770593,popular choices include tea coffee cocoa,./bigbang,F,15,include,12,5,4,"It occurred to me you hadn't returned any of my calls
because I hadn't offered any concrete suggestions for pursuing our friendship.
Perhaps the two of us might share a meal together...
I see.
Well then perhaps you'd have time for a hot beverage.","I see.
No, no, no, wait. Don't hang up yet.
What about a recreational activity?
I bet we share some common interests.","니가 전화를 안 하는 거 같은데
왜냐하면 내가 우리 우정을 위한 구체적인 제안을 안 해서 그런 거 같네.
우리 밥이라도 같이 먹을래...
알았어
그럼 뜨거운 거라도 마실까?","알았어.
아니, 잠깐, 끊지 말아봐
우리 같이 여가 활동이라도 해볼래?
뭔가 공통점이 있을 거 같은데.",v. 포함하다,F
143,80737,include,45,"""Crew members will include Commander Tom 'Tombo' Johnson,",BB515,148560,152095,"""crew members will include commander tom 'tombo' johnson",./bigbang,F,15,include,13,5,2,"<font color=#00FF00>The Big Bang Theory 5x15</font> <font color=#00FFFF>The Friendship Contraction</font> Original Air Date on February 2, 2012
== sync, corrected by <font color=#00FF00>elderman</font> ==
Check it out-- press release
Um, ""Expedition 31 will launch this spring
""to the International Space Station.","""Astronaut Mike 'Supernova' Novacelik
and Payload Specialist Howard Wolowitz.""","<font color=""#5b79c9"">DC 기타 미국드라마 갤러리</font>
자막 <font color=""#5b79c9"">공대언니</font>
NASA에서 공식 발표를 했어
31원정대가 이번 봄에
국제우주정거장으로  출발한다","비행사 마이크 '슈퍼노바' 노바체릭
그리고 탑승 과학 기술자 하워드 왈로위츠로 이뤄졌다",v. 포함하다,F
144,19300,includes,19,Leonard has entered into a new romantic relationship which includes a sexual component?,BB209,62758,67777,leonard has entered into new romantic relationship which includes sexual component,./bigbang,F,15,include,14,6,2,"So, this wasn't the awkward part?
No.
All right.
S'up?
Oh, good, I used that right.
Anyway, you're aware that","Okay, feeling the awkward now.
Her name is Dr. Stephanie Barnett","아직 편한 대화란 말이에요?
네
알겠어요
어떻게 지내요?
내가 제대로 썼네요
아무튼 레너드가","이제 편치 않아지는군요
이름은 스테파니 바넷이고",v. 포함하다,F
145,71089,includes,180,"that includes a Nobel Prize and cities named after me,",BB510,535899,538967,that includes nobel prize and cities named after me,./bigbang,F,15,include,15,8,2,"Sure, sure.
Uh, when will Stuart be back?
I don't know. He went out for coffee.
With a girl.
Oh, I guess I was wrong.
You okay?
Am I okay?
Leonard, I'm on a lifelong trajectory","all four wisdom teeth
and my bowel movements run like a German train schedule.","그래요
스튜어트는 언제 와요?
커피 마시러 갔어요
여자랑
내가 잘못 생각했네
괜찮아?
괜찮냐고?
내 인생 궤도는  노벨상을 향하고 있어","내 사랑니는 잘 자라서  뽑을 필요가 없고
내 배변 활동은 독일 열차처럼  시간을 칼같이 지키고 있어",v. 포함하다,F
146,60116,including,233,for including me in the decision-making process.,BB505,558051,560919,for including me in decisionmaking process,./bigbang,F,15,include,16,6,5,"that impacts both of us, and I'd like to discuss it.
Okay.
I've been offered a chance to go up
to the International Space Station for three weeks.
What are your thoughts on that?
Well, first of all, thank you","Hey, we're a team.
(chuckles)
So, what do you think?
No.
No?","그 얘기 했으면 좋겠어
그래
국제우주정거장에 3주동안 가 있을
기회가 생겼어
어떻게 생각해?
음 먼저 결정할 때","우리는 팀인데 뭘
(chuckles)
그래서 어떻게 생각해?
안 돼
안 된다고?",v. 포함하다,F
147,65191,including,209,including Dr. Seuss.,BB507,806572,809105,including dr seuss,./bigbang,F,15,include,17,5,2,"Yeah, me, too. I can't make up my mind.
Are you concerned because the world is filled
No. I'm having a moral crisis.
Well, if it's of any help, I've read
all the great moral philosophers,","Oh, what the hell.
I'm supposed to go see that girl","결정을 못 하겠어
개랑 깡패들이 두려워서?
아니, 윤리적인 문제야
도움이 될지 모르겠지만
윤리학자들이 쓴 책은 다 읽어봤어","에라 모르겠다
만화방에서 만난  앨리스랑 약속이 있는데",v. 포함하다,F
148,94553,including,92,"including tobacco, swear words, and yes, alcohol.",BB522,303632,308718,including tobacco swear words and yes alcohol,./bigbang,F,15,include,18,7,2,"He found a really nice spot to have a bachelor party.
It's not bad.
Unless you compare it to a train; then it stinks.
Are you drinking whiskey?
Indeed.
If I'm to participate in the social convention
that is the stag night, then I must embrace all its components:","Jeepers! That's yucky.
Whoa, it's a little early to start","총각 파티를 하기에  장소가 딱이야
나쁘지 않지
기차랑 비교한다면 구리지만
위스키 마시려고?
그럼
총각파티라는 사회적 관습에 참여하려면
구성 요소도 받아들여야지","Jeepers, 너무 쓰잖아
벌써부터 J로  시작하는 욕을 하다니",v. 포함하다,F
149,7689,included,137,"Look, Mom included the memory card.",BB202,466608,468756,look mom included memory card,./bigbang,F,15,include,19,5,2,"Great news. My mom sent me my old Nintendo 64.
Terrific. - You know what this means, don't you?
Break out the Red Bull, it's time to rock Mario, old school.
I kind of have other plans tonight. - But it's Friday.
Friday's always vintage game night.","We can pick up right where I left off in 1999
The thing is, someone's coming over.","좋은 소식이 있어 엄마가 내 옛날 닌텐도 64를 보냈어
좋겠네 - 무슨 말인지 알지?
레드 불 끝판도 깨고 마리오도 해야지, 옛날로 돌아간 거 같아
오늘은 다른 계획이 있어 - 금요일이잖아
금요일은 고전 게임의 밤이야","1999년 악성 빈혈로 그만뒀던 그 직후부터 할 수 있겠어
그게, 누가 오거든",v. 포함하다,F
150,15286,issue,26,"Now if you'll excuse me, the latest issue of  Batman  is out.",BB206,119287,122758,now if you'll excuse me latest issue of batman is out,./bigbang,F,16,issue,10,5,2,"any one who told you that you would  someday be able to make any significant contribution to physics,
played a cruel trick on you, a cruel trick indeed.
Any questions?
Of course not.
I weep for the future of science.","Come, Leonard.
Laser demonstration's looking pretty good now, huh?","여러분이 물리에 정말 큰 공헌을 할 수 있을 것이라고 이야기 한 사람이 있다면
정말 잔인한 속임수에 넘어간 거예요 정말이지 잔인해요
질문 있나요?
역시 없군요
과학의 미래에 애도를 표해야겠군요","레너드, 어서
레이저 실험이 좋았죠?",v. 발행하다,F
151,16223,issue,173,Have you worked out the neutrino issue?,BB206,654363,656419,have you worked out neutrino issue,./bigbang,F,16,issue,11,3,4,"Dr. Cooper is on the verge of a breakthrough.
If you're going to stay, you'll have to be respectful and quiet.
Wait for me.","Well, to paraphrase Mozart,
all the subatomic particles are there. I just have to put them in the right order.
You're so witty.
Aren't I?","쿠퍼 박사님은 대단한 발견을 하기 직전이세요
여기 계시려거든 예의를 갖추고 조용히 계세요
같이 가","모차르트 말을 인용하자면
입자들은 그냥 거기 있는 것이고 난 올바른 순서대로 배열할 뿐이지
정말 재밌으세요
그렇지?",v. 발행하다,F
152,20472,issue,198,The issue remains.,BB209,753129,755785,issue remains,./bigbang,F,16,issue,12,6,3,"For which she awarded him the nickname ""Speed of Light Leonard.""
And the three hour dinner with Penny.
Which would have been two and a half if they ordered the souffle when they sat down.
Based on the geometric progression,
his relationship with Stephanie should have ended after 20 minutes.
Yes, I'm aware of the math. Y equals 27 days over 12 to the nth.","How do we circumvent his inevitable rejection?
If you want to guarantee his appeal to Stephanie,
your best bet would be to kill all the other men on the planet.","레즐리가 ""광속 인간 레너드""라고 별명까지 지어줬지
페니랑 저녁 식사 3시간
앉은 시간만 치면 2시간 반이겠지만
등비수열을 적용하면
20분 뒤에 스테파니랑 헤어지게 돼 있다고
나도 그 정도 계산은 돼 27일 나누기 12의 n승이잖아","피할 수 없는 헤어짐을 어떻게 넘어가냐는 거지
스테파니한테 매력적으로 보이려면
지구 상의 남자란 남자는 다 죽이는 게 제일 좋은 방법일 거야",v. 발행하다,F
153,35800,issue,172,Fine. e new issue of Flash is out.,BB216,625340,627940,fine e new issue of flash is out,./bigbang,F,16,issue,13,6,4,"There, butt print.
It's too small and too... perfect.
Thank you. - You're welcome.
Act normal.
Sheldon!
How was the comic book store?","Great, great. Did you walk the whole way? It's a little chilly.
Koothrappali picked me up.
Isn't that terrific?
He is such a good friend.","자, 엉덩이자국.
그건 너무 작고...  완벽해.
고마워. - 천만에.
평상시같이.
쉘든!
만화책방은 어땠어?","좋아, 좋아. 걸어 갔다 왔어? 날이 쌀쌀하던데.
라지가 태워줫어.
굉장하지 않니?
걔는 정말 좋은 친구야.",v. 발행하다,F
154,45532,issue,252,"But returning to the original issue, Dick Grayson became Nightwing,",BB220,896700,900270,but returning to original issue dick grayson became nightwing,./bigbang,F,16,issue,14,4,3,"More wrong?
Wrong is an absolute state and not subject to gradation.
Of course it is. It'a little wrong to say a tomato is a vegetable.
It's very wrong to say it's a suspension bridge.","a superhero in his own right.
Batman 2 has to be the second Robin, Jason Todd.
Has to be? Has to be?","완전히 틀렸다고?
틀렸다는 말은 절대적인 표현이야 완전히라는 부사로 정도를 나타낼 수 없어
당연히 그럴 수 있지, 토마토가 야채라는 한다면 조금 틀린거고
현수교라고 한다면 아주 틀린거니까","다른 고유한 수퍼히어로가 된거지
배트맨2는 2대 로빈, 제이슨 토드여야만 하지
여야만 한다? 여야만 한다고?",v. 발행하다,F
155,64299,issue,60,"Uh, yeah. It's issue number 21.",BB507,277759,279726,uh yeah it's issue number,./bigbang,F,16,issue,15,3,5,"Hi. - Hi.
Shut up.
Are you getting this  Next Men?","First appearance of Hellboy.
I know. I've been looking for it for years.
Sorry.
Hey, if I pretended to hit on you,
could I distract you enough to sneak it away?","안녕
닥쳐
넥스트맨 사려고?","헬보이가 처음으로 등장해
몇 년 동안 찾아다녔는데
미안
너한테 관심 있는 척 하고
네가 집중 못할 때 뺏어갈 수 있지 않을까?",v. 발행하다,F
156,80364,issue,332,Hospitals do not issue Band-Aids,BB514,1078976,1080341,hospitals do not issue bandaids,./bigbang,F,16,issue,16,5,2,"So, I've got a gunshot wound.
That's pretty bad-ass.
No, you've got a Reebok with a gunshot wound
and an ouchie on your pinkie toe.
Hello? They gave me a Band-Aid.","That is the law.
Well, thank you for a really cool evening.","나 총상 입었어
좀 멋지지?
리복 운동화가 총상을 입고
넌 새끼 발가락이 조금 까진 것 뿐이야
이봐, 난 반창고도 붙였어","그게 법이야
오늘 정말 즐거웠어",v. 발행하다,F
157,16136,issues,161,You don't tackle the big issues. You fence with them.,BB206,599505,602987,you don't tackle big issues you fence with them,./bigbang,F,16,issue,17,6,2,"Here's your spinach mushroom omelet.
Thank you.
Did anyone touch it? - Gloves were worn by everyone involved.
I was vigilant.
Ramona pointed out that I've been wasting  20 minutes a day standing on cafeteria lines.
Time which would be better spent tackling the great physics problems of our day.","En garde. Riposte.
Touche.","시금치 버섯 오믈렛이에요
고마워
아무도 안 만졌지? - 관계자들은 다 장갑을 꼈어요
제 두 눈으로 확인했어요
하루 중 20분을 식당에서 줄 서는 데 낭비한다고 라모나가 지적해줬어
그 시간들을 물리학의 난제들에 도전하는 데 쓰인다면 더 가치 있겠죠","준비, 반격
내가 졌어",v. 발행하다,F
158,55250,issues,90,"Wow, someone obviously has some mommy issues.",BB503,327075,330761,wow someone obviously has some mommy issues,./bigbang,F,16,issue,18,8,4,"Yes, Bernadette, that's exactly what he thinks.
Why not?
It's a great house, plenty of room,
and if we have kids, Mom's there to help.
You know, en she tells ""The Three Little Pigs"" story,
she actually has hair on her chinny-chin-chin.
I'm not gonna live with your mother.
Not now, not ever.","Raj, take me home.
Don't listen to her. Go to the movie theater.
Take me home now.
Movie theater!","그래, 맞아 그게 쟤 생각이야
왜 싫어?
좋은 집이라니까 방도 많잖아
우리가 애를 낳으면 엄마가 길러주실거야
'새끼돼지 삼형제'이야기도 애들한테 들려주시겠지
털이 많으셔서 늑대흉내를 잘 내시거든
난 어머니랑 같이 못살아
지금이나 앞으로도","라지, 집으로 데려다줘
쟤말 듣지마. 영화보러 가자
집으로 데려다줘 당장!
영화관!",v. 발행하다,F
159,41245,cause,281,"Now,now,let's reconsider the entire argument,but with entropy reversed and effect preceding cause.",BB218,1000560,1006580,nownowlet's reconsider entire argumentbut with entropy reversed and effect preceding cause,./bigbang,F,17,cause,10,4,3,"you're going to have to answer to my mother.
Look at Planck's Constant. People say it's arbitrary.
It could not be less arbitrary.
If it varied slightly,life as we know it would not exist. Bam!","
So you are thinking of a universe that's not expanding from the center--
no,it is retreating from a,from a possibility space. Bam!","네가 우리 엄마한테 말해줘야 할 거야
플랑크 상수를 봐봐 사람들은 그게 부정수라고 말하지
그건 부정수가 아닐 리가 없어
만약 그게 조금이라도 변화한다면 우리가 아는 이 삶은 존재하지 못해, 빵!","엔트로피가 역전되고, 원인이 있기 전에 결과가 있다고 가정하고 말이야
그래서 아마 넌 우주가 중심부에서 팽창한 게 아니라고 생각하고 있겠지
아니, 그건 실제적 공간에서 후퇴하고 있는 거야, 빵!","n. 명분, 목적; 원인, 이유",F
160,46605,cause,95,that would cause Leonard to render any room uninhabitable within minutes.,BB221,325693,329480,that would cause leonard to render any room uninhabitable within minutes,./bigbang,F,17,cause,11,6,2,"a perfect culinary representation of the freedom this evening holds.
Not only is it Indian cuisine, which Koothrappali loathes,
it contains a generous helping of peanuts,
which would reduce Wolowitz to a wheezing 97-pound blister.
And finally, its main ingredient is paneer,
a farmer's cheese","Yum.
Well, enjoy your big evening.","Kadhai Paneer에서 나는 매혹적인 향이지
쿠트라팔리가 싫어하는 인도요리이자
풍부한 양의 땅콩도 들어있어서
왈로위츠가 먹으면 씩씩거리는 97파운드 짜리 덩어리가 될거야
그리고 마지막으로 주재료는 파머 치즈의 일종인
paneer 치즈로서","맛있겠네
그럼 저녁 재밌게 보네","n. 명분, 목적; 원인, 이유",F
161,73301,cause,207,One of which is certainly the cause of him wetting his bed,BB511,605240,607808,one of which is certainly cause of him wetting his bed,./bigbang,F,17,cause,12,5,1,"A little bit?
The man Super Glued Hershey's Kisses to your nipples.
That's funny because those aren't the kind of kisses
What is that?
This is a list of your heinous acts against Leonard.","14 is not... Aw, never mind.","조금?
유두에 허쉬 키세스 초콜릿을 접착제로 붙여놓았다며
유두에 받아야할 키스는 다른 종류라고
그건 뭐야?
레너드한테 벌어진 끔찍한 일들이야","14살은 그래도... 아냐, 됐다","n. 명분, 목적; 원인, 이유",F
162,71711,causes,300,"I'm sorry this causes you discomfort,",BB510,928118,930920,i'm sorry this causes you discomfort,./bigbang,F,17,cause,13,4,3,"The thought of you sitting in a darkened theater
No offense, Stuart.
None taken.
Although ""repellent"" is kind of a... kind of a strong word.","but based on the currently established parameters
of our relationship, I can put myself
Um, again...","스튜어트 같은 놈이랑 어두운 영화관에 둬서 불쾌해
나쁜 뜻은 아냐, 스튜어트
알아
불쾌하다는 건 좀 너무하긴 하다","하지만 우리의 제한된 관계를 생각하면
불쾌한 상황에 처하건 말건 내 마음이야
다시 말하지만...","n. 명분, 목적; 원인, 이유",F
163,97817,causing,273,Her efforts are causing me,BB523,906931,908814,her efforts are causing me,./bigbang,F,17,cause,14,7,1,"It-It's usually
She got them to make an exception.
Shame on her.
They let me blow the whistle, Leonard.
She's good.
I know.
And  it gets worse.",to have affectionate feelings for her,"보통 아이들 대상인데
에이미가 잘 얘기했나봐
부끄러운 줄 알아야지
휘슬도 울리게 해줬어
대단하네
알아
더 있어",적절하지 않은 순간에 애정을 느끼고 있어,"n. 명분, 목적; 원인, 이유",F
164,20247,caused,170,that caused you to pop an emotional cap in his buttocks.,BB209,646870,650142,that caused you to pop emotional cap in his buttocks,./bigbang,F,17,cause,15,7,2,"What do you want?
I'm certain this will come as no surprise to you,
but Leonard is failing in yet another relationship.
He's having problems with Stephanie?
She's sending virtual livestock to random men on the Internet.
If I have any hope of keeping them together, I need data.
Specifically, I need to know exactly what Leonard did","What? - Again, urban slang.
In which, I believe I'm gaining remarkable fluency.","무슨 일인데요?
페니한테는 별로 놀랍지도 않겠지만
레너드가 이번에도 깨질 것 같아요
스테파니랑 문제 있어요?
스테파니는 인터넷에서 아무 남자한테나 가상 가축을 보내고 있어요
둘을 계속 엮으려면 자료가 필요해요
레너드가 한 짓을 빼놓지 말고 말해요","네? - 속어잖아요
제가 봐도 꽤 유창하게 쓰는 것 같네요","n. 명분, 목적; 원인, 이유",F
165,14778,remind,245,Remind me to compliment Wolowitz on the software. It's amazingly detailed.,BB205,978366,982678,remind me to compliment wolowitz on software it's amazingly detailed,./bigbang,F,18,remind,10,3,3,"Maybe you want to give it a rest and try again tomorrow.
No. I quit.
The pet store...","So wait, you're just gonna give up?
No, I'm not giving up.
I never give up.","오늘은 좀 쉬고 내일 다시 해 봐
싫어, 그만둘래
애완동물 가게가..","잠시만, 그렇게 포기해버리는 거야?
아니, 난 포기 하지 않아
난 포기라는 건 안 해",v. 상기시켜주다,F
166,79802,remind,228,"(chimes) Siri, remind me",BB514,740888,742003,chimes siri remind me,./bigbang,F,18,remind,11,7,3,"Cooper.
Kripke.
Heads up.
Professor Rothman urinated in the particle physics wab again,
so we're going to move up his wetirement party.
Fwiday, 5:00-- pot wuck.
Thanks, Barry.","(chimes) All right, I'll remind you.
You got Siwi, huh?
Voice wecognition on that thing is terrible.","쿠퍼
크립키
전할 말이 있어
로스만 교수가 소립자 물리  실험실에 또 오줌을 쌌어
은퇴 파티를 좀  앞당기려고
금요일 5시, 음식 준비해와
고마워, 배리","네, 그렇게 하겠습니다
시리 구입했네?
음성 인식  잘 안 되던데",v. 상기시켜주다,F
